ep,sigma_inf,hits,max_dev,hit_dist
8500,0.3,42,5.462554931640625,"[np.int64(11), np.int64(8), np.int64(5), np.int64(5), np.int64(7), np.int64(6)]"
8500,0.5,40,5.462593078613281,"[np.int64(11), np.int64(8), np.int64(3), np.int64(5), np.int64(7), np.int64(6)]"
9000,0.15,44,5.193885803222656,"[np.int64(11), np.int64(8), np.int64(5), np.int64(5), np.int64(8), np.int64(7)]"
9000,0.3,41,5.1939544677734375,"[np.int64(11), np.int64(8), np.int64(4), np.int64(5), np.int64(7), np.int64(6)]"
9000,0.5,40,5.1939544677734375,"[np.int64(11), np.int64(8), np.int64(3), np.int64(5), np.int64(7), np.int64(6)]"
9500,0.15,44,5.506111145019531,"[np.int64(11), np.int64(8), np.int64(5), np.int64(5), np.int64(8), np.int64(7)]"
9500,0.3,41,5.506072998046875,"[np.int64(11), np.int64(8), np.int64(4), np.int64(5), np.int64(7), np.int64(6)]"
9500,0.5,40,5.5060272216796875,"[np.int64(11), np.int64(8), np.int64(3), np.int64(5), np.int64(7), np.int64(6)]"
10000,0.15,45,5.467247009277344,"[np.int64(11), np.int64(8), np.int64(5), np.int64(6), np.int64(8), np.int64(7)]"
10000,0.3,41,5.4670257568359375,"[np.int64(11), np.int64(8), np.int64(4), np.int64(5), np.int64(7), np.int64(6)]"
10000,0.5,40,5.466972351074219,"[np.int64(11), np.int64(8), np.int64(3), np.int64(5), np.int64(7), np.int64(6)]"
